Messages,Command
Shama chahta ho yeh vishay maine nahi padha,Hindi
Mujhe ek minute ka waqt dijiye soochne ke liye,Hindi
Main iss baare mein sochta ho,Hindi
Main bohat zayada thaka hua ho ya main bahot zayada tahki hoi ho,Hindi
Matlab mujhe aap ki baat samjh nahi aai,Hindi
Mujhe aapki help yani madad ki zaroorat hai,Hindi
Kya aap meri help kar sakte hai,Hindi
Kya aap kuch minute denge meri help karne ke liye,Hindi
Aur kuch nahi,Hindi
Phir milenge,Hindi
Bharosa rakhe,Hindi
Kal milenge,Hindi
Tum kaise jaoge,Hindi
Kya tum use pahchante ho,Hindi
Nahi kabhi nahi,Hindi
Koi bat nahi,Hindi
Unke saath bura bartao kiya gaya,Hindi
Kya use pyar kiya jata hai,Hindi
Use kiske saath bheja gaya,Hindi
Kitabein chhapee ja rahee hai,Hindi
Hamein kya bataya gaya,Hindi
Use puchha jana chaahiye tha,Hindi
Ye kaam ho jana chahiye tha,Hindi
Use kya diya gaya,Hindi
Kitabein chhapee ja rahee hai,Hindi
Hamein kya bataya gaya,Hindi
Use puchha jana chaahiye tha,Hindi
Unhein kaha bheja gaya tha,Hindi
Hamein bheja jana hai,Hindi
Mummy ko puchha jata tha,Hindi
Hamein kya padhaya jata tha,Hindi
Tumhein saza milni chahiye,Hindi
Usse puchha jana tha,Hindi
Mere saath kisi ko bheja nahi jana chahie,Hindi
Yaha par pen se likha jana hai,Hindi
Mujhe mobile diya ja sakta hai,Hindi
Hamari tankhvah badhai jani hai,Hindi
Homework zaroor karna chahiye,Hindi
Use kaha bheja jana chahiye,Hindi
Vo mujhe bhijvaata hai,Hindi
Vo mujhe bhijva rahi hai,Hindi
Usne mujhe samjhaya,Hindi
Tum mujhe usse ladva rahe ho,Hindi
Vo mujhse likhvaata hai,Hindi
Vo mujhse kaam karvati hai,Hindi
Vah mujhe bevakuf bana rahi hai,Hindi
Aaloo chheel do,Hindi
Santara Chheel do,Hindi
Samajhne ki koshish karo,Hindi
Mujhe gussa mat dilao,Hindi
Bistar par chaadar bichha do,Hindi
Usy samay lene do,Hindi
Deewar par sahaara mat lo,Hindi
Bak bak mat karo,Hindi
Dimag se kam lo,Hindi
Bakwaas mat karo,Hindi
Dheeme bolo,Hindi
Zid mat karo,Hindi
Dheere bolo,Hindi
Mujhse pange mat lo,Hindi
Tez bolo,Hindi
Dhoop sek lo,Hindi
Mujh par ehsaan mat karo,Hindi
Bahut maza aaya!,Hindi
Chalak mat bano,Hindi
Main do ghante se padh raha hun,Hindi
Dobara kab milenge,Hindi
Maine ye tumhare lie kiya,Hindi
Wo Somvar se koshish kar raha hai,Hindi
Tum me kala hai,Hindi
Wo bus se utar raha hai,Hindi
Tum seekh jaoge,Hindi
Table se cup hata do,Hindi
Driving seekh lo,Hindi
Main kal se kaam karunga,Hindi
I will work from tomorrow,English
Naukri dhoond lo,Hindi
Find a job,English
Main Delhi se aa raha hun,Hindi
I am coming from Delhi,English
Naukri kar lo,Hindi
Start a job,English
Humne vakayee me zindagi jee,Hindi
We really lived life,English
Mujhe thand lag rahi hai,Hindi
Iâm feeling cold,English
Usy mat ghooro,Hindi
Donât stare at him,English
Jaakar so jao,Hindi
Go and sleep,English
Usy mat dekho,Hindi
Donât look at him,English
Mere saath chalo,Hindi
Come with me,English
Andhera ho gaya hai,Hindi
Itâs got dark,English
Subah ho gayi,Hindi
Itâs Morning,English
AC ON karo,Hindi
Switch on the AC,English
AC band karo,Hindi
Switch off the AC,English
Use vida kar do,Hindi
See him off,English
Machine chalao,Hindi
Operate the machine,English
Machine chaaloo karo,Hindi
Switch on the machine,English
Phone aa raha hai,Hindi
The phone is ringing,English
Barish ho rahi hai,Hindi
Itâs raining,English
Joote utaar lo,Hindi
Take off the shoes,English
Bahaane mat banao,Hindi
Donât make excuses,English
Joote pahan lo,Hindi
Put on the shoes,English
Donât favour me,English
